,value
nse,-0.0769924402233646
rmse,0.15477299899066393
R2,0.5039171276081779
biasabs,0.09576136176569999
nse_forest,-0.13445727082293324
rmse_forest,0.15499609892298266
R2_forest,0.45392740173871965
biasabs_forest,0.0942830402100508
nse_shrub,-0.12112050360531512
rmse_shrub,0.140687458567894
R2_shrub,0.5058106534984936
biasabs_shrub,0.08995265710779703
nse_grass,-0.08537710308311786
rmse_grass,0.15337451141887598
R2_grass,0.49519666341889207
biasabs_grass,0.09330011078243283
nse_crop,0.025198177931620602
rmse_crop,0.1700339270529031
R2_crop,0.5607337917766061
biasabs_crop,0.10550963896251932
rmse_0_5,0.09489147291925179
rmse_5_10,0.13094454479203724
rmse_10_15,0.15847055054472628
rmse_15_20,0.1713632603726291
rmse25,0.09489147291925179
