,value
nse,6.044328872301108e-05
rmse,0.14325982098382883
R2,0.5826600563023561
biasabs,0.0936890115695635
nse_forest,-0.035688724311027986
rmse_forest,0.1429800395658287
R2_forest,0.5539208823453687
biasabs_forest,0.09294728235467273
nse_shrub,-0.06740669580555414
rmse_shrub,0.13937342162776079
R2_shrub,0.5778435590459665
biasabs_shrub,0.09279461318770343
nse_grass,0.04768962215890937
rmse_grass,0.137964215869203
R2_grass,0.5942340026945926
biasabs_grass,0.08915271142368346
nse_crop,0.050358474152674804
rmse_crop,0.15272160687252279
R2_crop,0.6046417811234963
biasabs_crop,0.09986143931219436
rmse_0_5,0.07864628899581805
rmse_5_10,0.12201377550440339
rmse_10_15,0.15002032633400644
rmse_15_20,0.16108370966042723
rmse25,0.07864628899581805
