,value
nse,-0.027386061470021872
rmse,0.14754548707868975
R2,0.532750898053014
biasabs,0.09328937288621929
nse_forest,-0.05688326655674292
rmse_forest,0.1437336319283209
R2_forest,0.4846850645663278
biasabs_forest,0.08817584972007692
nse_shrub,-0.13122874988388444
rmse_shrub,0.14295350304187204
R2_shrub,0.512701538117965
biasabs_shrub,0.09131825783295994
nse_grass,0.0039078165892996175
rmse_grass,0.14376363182141547
R2_grass,0.547897977443206
biasabs_grass,0.09052852969023939
nse_crop,0.06433999806029078
rmse_crop,0.15973118152315055
R2_crop,0.5857190120845572
biasabs_crop,0.1031348543016009
rmse_0_5,0.08883170350625012
rmse_5_10,0.12562895543921315
rmse_10_15,0.15199453866399928
rmse_15_20,0.16391640185188758
rmse25,0.08883170350625012
