,value
nse,-0.0458620840595807
rmse,0.14668630874721264
R2,0.5551965277920776
biasabs,0.09560022232359877
nse_forest,-0.10396287118944691
rmse_forest,0.14700478632634012
R2_forest,0.5262202751962489
biasabs_forest,0.09658512519328898
nse_shrub,-0.12996683932494912
rmse_shrub,0.14274891748032612
R2_shrub,0.54621115506788
biasabs_shrub,0.09634730226048059
nse_grass,-0.0380451067279699
rmse_grass,0.14320213806095441
R2_grass,0.5523055956558509
biasabs_grass,0.09190289689709388
nse_crop,0.07586959975576968
rmse_crop,0.15378939312123
R2_crop,0.5960490852483309
biasabs_crop,0.09756556494353162
rmse_0_5,0.08618400085392229
rmse_5_10,0.12574971819554512
rmse_10_15,0.15070412652551324
rmse_15_20,0.16365093030397074
rmse25,0.08618400085392229
