,value
nse,-0.09146480036087468
rmse,0.1546114366926537
R2,0.5108243979657154
biasabs,0.09653947290028649
nse_forest,-0.1297168041414487
rmse_forest,0.15103177649942473
R2_forest,0.46271724277328585
biasabs_forest,0.09156135341358138
nse_shrub,-0.17203275645069427
rmse_shrub,0.1483251466049875
R2_shrub,0.48761288376711553
biasabs_shrub,0.09367245894814405
nse_grass,-0.04622048437287862
rmse_grass,0.14912060823232762
R2_grass,0.5338678993735386
biasabs_grass,0.09236239225398955
nse_crop,-0.02476253269146156
rmse_crop,0.16996821543387494
R2_crop,0.5590995659489219
biasabs_crop,0.10856168698543096
rmse_0_5,0.0993912386583324
rmse_5_10,0.13392024691755194
rmse_10_15,0.15718817592229578
rmse_15_20,0.16967956115611246
rmse25,0.0993912386583324
