,value
nse,-0.1750039049419172
rmse,0.16032301118655262
R2,0.5466498362798077
biasabs,0.10926922126619895
nse_forest,-0.17417796311882583
rmse_forest,0.15765292938815614
R2_forest,0.5288192491052084
biasabs_forest,0.10612884290777981
nse_shrub,-0.2696086688193833
rmse_shrub,0.15712722081103683
R2_shrub,0.5438139749820081
biasabs_shrub,0.11108799109094933
nse_grass,-0.12179525581735051
rmse_grass,0.15397829971525323
R2_grass,0.5540054145963944
biasabs_grass,0.10285779101456455
nse_crop,-0.14027532070666515
rmse_crop,0.17253359483176428
R2_crop,0.5599607064356199
biasabs_crop,0.11700226005150209
rmse_0_5,0.10042885910454007
rmse_5_10,0.13910802865252841
rmse_10_15,0.16374007718306674
rmse_15_20,0.175166592506244
rmse25,0.10042885910454007
