,value
nse,-0.1575564454354259
rmse,0.1622445443465974
R2,0.47182482731975006
biasabs,0.09965768742858577
nse_forest,-0.20953643362698537
rmse_forest,0.1607560929701831
R2_forest,0.42036905393637397
biasabs_forest,0.09568466697597336
nse_shrub,-0.16627527231973183
rmse_shrub,0.1443579044315669
R2_shrub,0.474913741804123
biasabs_shrub,0.0910045190148635
nse_grass,-0.17841082016213505
rmse_grass,0.1618027029211889
R2_grass,0.46868457907619726
biasabs_grass,0.09900646178677915
nse_crop,-0.08032781616780627
rmse_crop,0.18206147706345074
R2_crop,0.5233319344623059
biasabs_crop,0.11293510193672707
rmse_0_5,0.10334753284080492
rmse_5_10,0.13693307948514807
rmse_10_15,0.16404288535136632
rmse_15_20,0.1796594735590455
rmse25,0.10334753284080492
