,value
nse,-0.23530001860080185
rmse,0.16050356504772198
R2,0.5231409797686546
biasabs,0.10453366677157584
nse_forest,-0.25640601164793697
rmse_forest,0.15692004162055956
R2_forest,0.49320419164076806
biasabs_forest,0.10039251033532366
nse_shrub,-0.2824282268714633
rmse_shrub,0.15358151085043373
R2_shrub,0.531202813822892
biasabs_shrub,0.1048478351126245
nse_grass,-0.20535175625465385
rmse_grass,0.155098763310131
R2_grass,0.5251289739973397
biasabs_grass,0.0988273773243569
nse_crop,-0.19918440953844385
rmse_crop,0.17641394440976363
R2_crop,0.5430279396136187
biasabs_crop,0.11406694431399829
rmse_0_5,0.10538423217830732
rmse_5_10,0.13950652898677363
rmse_10_15,0.1611734420798615
rmse_15_20,0.1752607722443386
rmse25,0.10538423217830732
