,value
nse,-1.1336351422934032
rmse,0.225806264860403
R2,2.433798118135822e-31
biasabs,0.16251201403280655
nse_forest,-1.045012907783108
rmse_forest,0.21442802139172168
R2_forest,3.0448663321684103e-31
biasabs_forest,0.1508550435478041
nse_shrub,-1.069889206474099
rmse_shrub,0.19188882254876038
R2_shrub,2.5390956095331794e-31
biasabs_shrub,0.13568526347305748
nse_grass,-1.1299930389068726
rmse_grass,0.22131926251524509
R2_grass,2.543443617022101e-31
biasabs_grass,0.15890061177866743
nse_crop,-1.302152471033637
rmse_crop,0.2755889529858848
R2_crop,1.6077869138195984e-31
biasabs_crop,0.20460713733169716
rmse_0_5,0.11270417805326238
rmse_5_10,0.17635743441207205
rmse_10_15,0.2360443123890189
rmse_15_20,0.2745085970032801
rmse25,0.11270417805326238
