,value
nse,-1.2248239262121454
rmse,0.21567046425637942
R2,1.92442801408609e-31
biasabs,0.15831938054907246
nse_forest,-1.2128236215102897
rmse_forest,0.21054145453270967
R2_forest,2.316028166565024e-31
biasabs_forest,0.15421979759680063
nse_shrub,-1.202910836310366
rmse_shrub,0.19862105400151892
R2_shrub,2.20922848092701e-31
biasabs_shrub,0.1450823414873506
nse_grass,-1.1812977347487679
rmse_grass,0.2097513457241879
R2_grass,1.8437614273529604e-31
biasabs_grass,0.15225640487239347
nse_crop,-1.304998708203224
rmse_crop,0.24376800276710126
R2_crop,1.3286939814993652e-31
biasabs_crop,0.1817189782397451
rmse_0_5,0.08498768108771472
rmse_5_10,0.15981163057849673
rmse_10_15,0.2337518533168148
rmse_15_20,0.2741276654573073
rmse25,0.08498768108771472
