,value
nse,-0.08057063272289477
rmse,0.1485438689364597
R2,0.564734350670941
biasabs,0.09706370740449613
nse_forest,-0.15778965236497067
rmse_forest,0.1493582848492618
R2_forest,0.5341653458605905
biasabs_forest,0.09700960511954428
nse_shrub,-0.10593980008930881
rmse_shrub,0.14239968067511263
R2_shrub,0.5605235270542487
biasabs_shrub,0.09695873511523331
nse_grass,-0.0872538287277953
rmse_grass,0.14585013120298063
R2_grass,0.5588804570074193
biasabs_grass,0.0933062023779696
nse_crop,0.02045459173120001
rmse_crop,0.15656737901848378
R2_crop,0.6053680727615055
biasabs_crop,0.10098028700523728
rmse_0_5,0.10339982485172519
rmse_5_10,0.1335995907360746
rmse_10_15,0.14979312000376338
rmse_15_20,0.154951093847222
rmse25,0.10339982485172519
