,value
nse,-0.016538487975717775
rmse,0.14660564192394632
R2,0.5915396617705546
biasabs,0.09602876224983634
nse_forest,-0.1456267674535372
rmse_forest,0.15500862272104568
R2_forest,0.5522689948410936
biasabs_forest,0.10260701769086485
nse_shrub,-0.02389284007745296
rmse_shrub,0.13739368659663134
R2_shrub,0.5889520104931263
biasabs_shrub,0.0897054114701874
nse_grass,0.03349042737495456
rmse_grass,0.14175443489076056
R2_grass,0.6080682183486142
biasabs_grass,0.09210613406855252
nse_crop,0.05795213369359464
rmse_crop,0.1522658234873477
R2_crop,0.6168694233993841
biasabs_crop,0.09969648576974063
rmse_0_5,0.1001281758022029
rmse_5_10,0.1283609149226752
rmse_10_15,0.14734314284937564
rmse_15_20,0.15507220531526
rmse25,0.1001281758022029
