,value
nse,0.016781168621043285
rmse,0.14488183045745928
R2,0.5357044484828478
biasabs,0.08837931344758104
nse_forest,-0.09379453096192991
rmse_forest,0.14861360086669437
R2_forest,0.4731373265201633
biasabs_forest,0.0891721387610224
nse_shrub,-0.05344861753334218
rmse_shrub,0.13877304569456322
R2_shrub,0.5122122998176003
biasabs_shrub,0.08442761520890435
nse_grass,0.05528553032877337
rmse_grass,0.14098840792889922
R2_grass,0.5595219823497661
biasabs_grass,0.08705969032658978
nse_crop,0.14168337744098536
rmse_crop,0.15115226733968035
R2_crop,0.5979461852438614
biasabs_crop,0.09285780949380763
rmse_0_5,0.08788967243989035
rmse_5_10,0.12391909090016111
rmse_10_15,0.14947762507788442
rmse_15_20,0.16138806608669914
rmse25,0.08788967243989035
