,value
nse,-0.028757767486782715
rmse,0.15097735267388412
R2,0.5004373420185457
biasabs,0.08952935905507202
nse_forest,-0.15866353331882
rmse_forest,0.15672271899056503
R2_forest,0.4355517535989721
biasabs_forest,0.09118857806432305
nse_shrub,-0.01422032061653633
rmse_shrub,0.13303455665609995
R2_shrub,0.5061615522764384
biasabs_shrub,0.08056290510203344
nse_grass,-0.0642919932473287
rmse_grass,0.15279177071054262
R2_grass,0.4957445035837423
biasabs_grass,0.09151904529681702
nse_crop,0.10427501019372154
rmse_crop,0.16136036433832893
R2_crop,0.5642915586150303
biasabs_crop,0.09484690775711457
rmse_0_5,0.09199796448129376
rmse_5_10,0.12634529319453847
rmse_10_15,0.1542177553505961
rmse_15_20,0.16905077797864765
rmse25,0.09199796448129376
