,value
nse,-0.054863856280819245
rmse,0.15165535956630447
R2,0.4631326480386124
biasabs,0.08641412758614919
nse_forest,-0.12796724426610684
rmse_forest,0.15246457888838094
R2_forest,0.4161570990408693
biasabs_forest,0.0848802826813441
nse_shrub,-0.0903265253005947
rmse_shrub,0.13749777011887557
R2_shrub,0.4563366476968182
biasabs_shrub,0.08149465960134973
nse_grass,-0.07119536708245455
rmse_grass,0.15107349032879833
R2_grass,0.4518793081750788
biasabs_grass,0.08395640905805722
nse_crop,0.05999203337846626
rmse_crop,0.16558559892916305
R2_crop,0.5281575372416835
biasabs_crop,0.0953251590038457
rmse_0_5,0.10771790707344217
rmse_5_10,0.13247228973700642
rmse_10_15,0.15073264301917166
rmse_15_20,0.1600406245131027
rmse25,0.10771790707344217
