,value
nse,-0.14760018665850616
rmse,0.15473516227301
R2,0.5272478624373986
biasabs,0.09993675721014884
nse_forest,-0.2069802511666392
rmse_forest,0.15428896637216488
R2_forest,0.5091794913532706
biasabs_forest,0.10080084218349501
nse_shrub,-0.16291924256200918
rmse_shrub,0.14722115928969148
R2_shrub,0.532055381783213
biasabs_shrub,0.09859956386797222
nse_grass,-0.1516743028370784
rmse_grass,0.15138238664936288
R2_grass,0.5151719543927535
biasabs_grass,0.09481008042133066
nse_crop,-0.073210055568937
rmse_crop,0.16604813678082084
R2_crop,0.5525846222203573
biasabs_crop,0.10553654236779747
rmse_0_5,0.1075477611898935
rmse_5_10,0.1359472535875259
rmse_10_15,0.15330983918378557
rmse_15_20,0.1668974147644454
rmse25,0.1075477611898935
