,value
nse,-0.01270914944159518
rmse,0.1462701214664979
R2,0.5039849668166665
biasabs,0.08829830000328848
nse_forest,-0.06889080489790489
rmse_forest,0.14462203315381014
R2_forest,0.4553124356057973
biasabs_forest,0.0860049923943834
nse_shrub,-0.07864118849536217
rmse_shrub,0.14005280949624718
R2_shrub,0.4861825432056275
biasabs_shrub,0.0841649057434559
nse_grass,0.0150055606633539
rmse_grass,0.14248498438279403
R2_grass,0.5164410573691822
biasabs_grass,0.08571158167787939
nse_crop,0.07380061497545953
rmse_crop,0.15792065883314024
R2_crop,0.558003831086059
biasabs_crop,0.09731172019743521
rmse_0_5,0.09800443847800575
rmse_5_10,0.13014452944702795
rmse_10_15,0.14945007395956234
rmse_15_20,0.15535276296832745
rmse25,0.09800443847800575
