,value
nse,-0.04890549226574059
rmse,0.14717289946996465
R2,0.5649653177418654
biasabs,0.09640701278716593
nse_forest,-0.09252812895534568
rmse_forest,0.14783026427209545
R2_forest,0.5437372654624263
biasabs_forest,0.09643991629689018
nse_shrub,-0.10595491617310282
rmse_shrub,0.14222150527921287
R2_shrub,0.5691570204636964
biasabs_shrub,0.09680713439644188
nse_grass,-0.011707637285018002
rmse_grass,0.14270462700244535
R2_grass,0.5679648525163343
biasabs_grass,0.09128630730428323
nse_crop,0.00970036663721241
rmse_crop,0.15593520132610497
R2_crop,0.5790021325250049
biasabs_crop,0.10109469315104838
rmse_0_5,0.10245081610974123
rmse_5_10,0.13195963586074635
rmse_10_15,0.14571514289600943
rmse_15_20,0.1558325100525212
rmse25,0.10245081610974123
