split,window,window_label,n_seeds,rmse_mean,rmse_sample_std_ddof1
iid_chopped,rmse_0_5,step 1–5,3,0.09115013611191586,1.7486103005469634e-05
iid_chopped,rmse_5_10,step 6–10,3,0.13199288279917987,5.777419942882343e-06
iid_chopped,rmse_10_15,step 11–15,3,0.16199251565327547,1.787066595049368e-05
iid_chopped,rmse_15_20,step 16–20,3,0.17385394575344085,9.169439687552243e-06
ood-t_chopped,rmse_0_5,step 1–5,3,0.08238418157280382,2.0260172336639922e-05
ood-t_chopped,rmse_5_10,step 6–10,3,0.12901547836061172,3.4821579870881514e-05
ood-t_chopped,rmse_10_15,step 11–15,3,0.15975702461304006,3.7150322434148596e-05
ood-t_chopped,rmse_15_20,step 16–20,3,0.16906101232623227,2.6938016673297293e-05
ood-s_chopped,rmse_0_5,step 1–5,3,0.09699020388547724,1.549484747599649e-05
ood-s_chopped,rmse_5_10,step 6–10,3,0.13613804564989754,9.753474636637767e-06
ood-s_chopped,rmse_10_15,step 11–15,3,0.16641220255569655,2.630830351312744e-05
ood-s_chopped,rmse_15_20,step 16–20,3,0.18242360531733381,7.570754791217847e-06
ood-st_chopped,rmse_0_5,step 1–5,3,0.08709173490567612,2.3793121601488096e-05
ood-st_chopped,rmse_5_10,step 6–10,3,0.13318845282204506,2.560970266977504e-05
ood-st_chopped,rmse_10_15,step 11–15,3,0.1601227006448654,3.0889726358729534e-05
ood-st_chopped,rmse_15_20,step 16–20,3,0.17250431341182945,2.7783357620322734e-05
