split,dataset_index,cube,state_A_donor_l1,donor_A_output_mae,delta_mse,n_valid_horizons,case_id
iid,1490,minicube_159_33TYM_46.57_18.14,0.7687135934829712,0.21320308957781112,-0.21434255939924357,7,M01
iid,1956,minicube_14_29TPE_40.38_-6.74,0.6353880167007446,0.0560905197635293,-0.0014151848010545585,8,M02
iid,616,minicube_22_30STJ_38.85_-5.31,0.5120795369148254,0.030490542016923427,0.0010340636427894883,10,M03
iid,315,minicube_172_33UXP_48.46_17.11,0.7071065902709961,0.025223791133612394,-0.0008167651361349789,8,M04
ood_t,1004,minicube_14_29TPE_40.38_-6.74,0.818771481513977,0.15787681713700294,0.011776246496962796,10,M05
ood_t,1346,minicube_26_30TTK_39.70_-6.41,0.6830501556396484,0.05394680751487613,0.012692370410623956,8,M06
ood_t,908,minicube_60_31TBF_41.35_-0.04,0.6748746037483215,0.041388223213808875,0.0034112606875604527,7,M07
ood_t,953,minicube_100_32TPP_43.28_10.58,0.7273861169815063,0.025295744882896543,-0.005980804148915808,8,M08
ood_s,5445,minicube_25_37.75_-1.25,0.8965098857879639,0.28390321466657853,-0.2251891359968791,9,M09
ood_s,266,minicube_33_38.25_-8.75,0.7636920213699341,0.04643366879059209,-0.0027980625879679174,9,M10
ood_s,5786,minicube_568_52.25_22.05,0.8340793251991272,0.039609283208847046,0.003699473272246079,7,M11
ood_s,4221,minicube_740_54.75_21.55,0.5726607441902161,0.02405829564668238,0.004132901739653601,8,M12
ood_st,3600,minicube_17_37.75_-8.75,0.8482562303543091,0.19776261001825332,0.04903759565744767,10,M13
ood_st,3815,minicube_373_49.25_7.55,0.8565114140510559,0.06058114820293018,-0.002697466277033396,7,M14
ood_st,1044,minicube_24_37.75_-1.75,0.7056935429573059,0.031943931347794004,-0.0006972762187123464,9,M15
ood_st,2978,minicube_40_38.25_-1.75,0.6603140234947205,0.02803474185722215,0.0015724612102122689,7,M16
