dataset_index,cube,geo_group,season,donor_index,donor_cube,suffix_horizon,state_A_B_l1,state_A_donor_l1,n_valid,target_sum,target_sum_sq,D20_sse,D20_sum_abs,A_sse,A_sum_abs,B_sse,B_sum_abs,donor_sse,donor_sum_abs,A_B_output_mae,A_D20_output_mae,B_D20_output_mae,donor_A_output_mae
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,1,0.1719793975353241,0.7342923879623413,16078,8747.4609375,5782.89013671875,1060.30908203125,3176.51220703125,980.6595458984375,2977.522705078125,1014.3151245117188,3048.12939453125,1020.3486328125,3049.467529296875,0.008760137483477592,0.02035384252667427,0.014736988581717014,0.019957954064011574
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,2,0.1719793975353241,0.7342923879623413,16082,8436.90625,5141.18115234375,835.3070068359375,2915.30859375,784.9017333984375,2778.04736328125,815.5985107421875,2858.736572265625,856.4996337890625,2912.041259765625,0.008761473000049591,0.012994999065995216,0.009047255851328373,0.027683230116963387
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,3,0.1719793975353241,0.7342923879623413,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,4,0.1719793975353241,0.7342923879623413,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,5,0.1719793975353241,0.7342923879623413,16082,8416.271484375,5196.40576171875,934.2815551757812,2979.609375,1023.013427734375,3151.601806640625,1061.848876953125,3240.89697265625,1136.58056640625,3329.451171875,0.009605152532458305,0.015835793688893318,0.02439606375992298,0.03324807062745094
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,6,0.1719793975353241,0.7342923879623413,14837,7575.44140625,4486.91015625,639.9241943359375,2401.71337890625,710.0869140625,2536.9716796875,736.38671875,2589.7744140625,797.2996826171875,2702.481689453125,0.009167687967419624,0.017350584268569946,0.02548328787088394,0.029979128390550613
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,7,0.1719793975353241,0.7342923879623413,16081,7750.7392578125,4392.35400390625,724.4579467773438,2616.91796875,767.1484375,2695.7421875,791.662109375,2746.36279296875,846.2924194335938,2824.996826171875,0.009960961528122425,0.011657016351819038,0.02081267163157463,0.02986014075577259
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,8,0.1719793975353241,0.7342923879623413,1,0.262341171503067,0.06882289052009583,0.13851676881313324,0.37217840552330017,0.1266321986913681,0.35585418343544006,0.11222384870052338,0.3349982798099518,0.1323028802871704,0.363734632730484,0.02085590362548828,0.016324222087860107,0.03718012571334839,0.007880449295043945
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,9,0.1719793975353241,0.7342923879623413,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,minicube_0_29SND_39.29_-8.56,29SND,2021-05,106,minicube_19_29TQF_40.87_-5.90,10,0.1719793975353241,0.7342923879623413,16082,8102.1669921875,4619.38330078125,657.8714599609375,2645.064453125,735.9244995117188,2851.84716796875,785.9161987304688,2984.2177734375,795.4497680664062,2972.607421875,0.011918587610125542,0.018099987879395485,0.02960931695997715,0.02877841703593731
