split,suffix_horizon,D20_rmse,A_rmse,B_rmse,donor_rmse
iid,1,0.15570989161134174,0.15797771733221289,0.15714797839412256,0.1637552976179668
iid,2,0.15047920846235288,0.15330380439280206,0.15238443818186434,0.1611932390044712
iid,3,0.16110843854433943,0.16292108264479851,0.16254828588470227,0.1724476059831563
iid,4,0.1706392597433102,0.1724603452585774,0.1721178489684075,0.18237597595828572
iid,5,0.17006458240691522,0.1713120467384144,0.17088569857496236,0.18105704526920297
iid,6,0.1732149719811829,0.1739648906816828,0.17403556960788358,0.1838013383747689
iid,7,0.17145299952284998,0.17166232372460338,0.171460972183983,0.1831317330149524
iid,8,0.1725497918118281,0.1722858962560888,0.17232509945888397,0.18334503258312504
iid,9,0.17582720806835217,0.17540903305269312,0.17557830577060074,0.18675413251706044
iid,10,0.17543605894103814,0.17450905191828872,0.17448926270022524,0.1865181616875675
ood_t,1,0.15087524284652615,0.14982753321308684,0.14972589706194064,0.15574870727791804
ood_t,2,0.15048098857516007,0.14921472226219518,0.14966494447217998,0.15595365710358983
ood_t,3,0.14494673506046135,0.1443692102934346,0.14471228862979318,0.1518939022674995
ood_t,4,0.15309214199745746,0.1519578500952247,0.1525360676598724,0.1597330030132522
ood_t,5,0.1534049121461829,0.15197178150034546,0.15272228646994432,0.15854729998197248
ood_t,6,0.1578702804648589,0.15656191885457554,0.1571798079747609,0.16539453197667767
ood_t,7,0.15639732035985118,0.15514767508311228,0.15575727304322648,0.16357634192884596
ood_t,8,0.15957281079338542,0.15860210792155513,0.15932110854721718,0.16806666585452132
ood_t,9,0.17054798158612386,0.17048592312306923,0.17144861635750738,0.17651340334035068
ood_t,10,0.15941284317392204,0.15889379004671217,0.15952129869504617,0.1663672262509941
ood_s,1,0.17836068197842253,0.18108249919341754,0.18029632929203973,0.18464431476123921
ood_s,2,0.18531972494631385,0.18832497983106605,0.1871483557931716,0.19393498509420612
ood_s,3,0.1983632526987279,0.2003550872721705,0.1997445990032505,0.20637466896940623
ood_s,4,0.2032064180214509,0.20454938872699038,0.20402156446778602,0.21185678815313685
ood_s,5,0.20123625812734539,0.20276167185464727,0.20263171550078102,0.20929387749181638
ood_s,6,0.19810768144879803,0.1987242855125187,0.1985282920381236,0.2072928916026854
ood_s,7,0.2089291805910968,0.2095287507257339,0.20914661458041606,0.21681741627473985
ood_s,8,0.20788013031471572,0.20808880629097495,0.20802294821446154,0.2143831953600596
ood_s,9,0.21803527726981436,0.21832487215500737,0.2182676899353161,0.22438511189292185
ood_s,10,0.21537929380011483,0.21484890285312214,0.21489847187506825,0.22167918612296741
ood_st,1,0.17557829087825325,0.17619799417249118,0.17553028026238726,0.17797220387983742
ood_st,2,0.1682512941851762,0.1674152972051633,0.1675810689163798,0.17012269673820313
ood_st,3,0.1610441798352707,0.16006914723448576,0.16051833675451033,0.16431080302578324
ood_st,4,0.17563149176355872,0.17432238135341116,0.17518056424105205,0.17678208293241493
ood_st,5,0.17914170235343221,0.1778506622773326,0.17871593336314678,0.1822375616166125
ood_st,6,0.1822784661319617,0.1811868199411352,0.18138785718253664,0.18498103826893975
ood_st,7,0.18449347236509145,0.18297397530343684,0.18313967619735946,0.18840759736347706
ood_st,8,0.1815863358350221,0.18001059409784673,0.18070350924173142,0.18460879326665416
ood_st,9,0.20588320678363614,0.20557012662340515,0.20680174339808535,0.20921324516472178
ood_st,10,0.19962316817190284,0.19931607651111652,0.19969388105718772,0.20129707536588765
