case_id,q3_source_index,role,e_key,c_key,tile,selection_rule,weather_semantics,has_counterfactual_ground_truth,audit_delta_loss_donor,audit_delta_loss_mean
W01,0,q3_pair_00,JAS21/minicube_103_32TPR_45.49_10.47.nc,JAS21/minicube_97_32TNR_45.45_9.59.nc,32TPR,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W02,8,q3_pair_01,JAS22/minicube_23_30STJ_39.19_-5.73.nc,JAS22/minicube_64_31TCG_41.73_1.24.nc,30STJ,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W03,15,q3_pair_02,MAM21/minicube_6_29SQB_37.12_-5.86.nc,MAM21/minicube_29_30TWK_40.05_-2.43.nc,29SQB,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W04,23,q3_pair_03,MJJ21/minicube_224_34TET_47.72_21.24.nc,MJJ21/minicube_238_34TFT_47.29_22.46.nc,34TET,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W05,30,q3_pair_04,MJJ22/minicube_103_32TPR_45.49_10.47.nc,MJJ22/minicube_112_32TQM_42.36_12.39.nc,32TPR,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W06,38,q3_pair_05,MJJ22/minicube_160_33TYM_46.19_17.62.nc,MJJ22/minicube_154_33TXJ_43.62_16.81.nc,33TYM,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W07,45,q3_pair_06,MJJ22/minicube_219_34TDQ_45.04_20.93.nc,MJJ22/minicube_208_34TCQ_44.74_18.50.nc,34TDQ,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W08,53,q3_pair_07,MJJ22/minicube_24_30TTK_39.99_-6.07.nc,MJJ22/minicube_9_29TNE_40.49_-7.88.nc,30TTK,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W09,60,q3_pair_08,MJJ22/minicube_32_30TWM_42.08_-2.23.nc,MJJ22/minicube_62_31TBF_41.07_0.71.nc,30TWM,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W10,68,q3_pair_09,MJJ22/minicube_46_30TYR_45.49_0.70.nc,MJJ22/minicube_66_31TCN_47.02_1.44.nc,30TYR,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W11,75,q3_pair_10,MJJ22/minicube_78_31TEJ_43.47_3.31.nc,MJJ22/minicube_74_31TDJ_43.31_2.71.nc,31TEJ,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
W12,83,q3_pair_11,SON22/minicube_60_31TBF_41.35_-0.04.nc,SON21/minicube_63_31TCG_41.48_0.66.nc,31TBF,evenly spaced over the 84 frozen Q3 pairs: round(i*83/11),actual=receiver weather; donor=matched control weather; mean=receiver weather averaged over the target window,actual only (donor/mean are counterfactual scenarios),0.002053,0.010140
