case_id,q3_source_index,e_key,c_key,tile,valid_fraction,n_valid,rmse_actual,rmse_donor,rmse_mean,gtmean_endpoint,predmean_endpoint_actual,predmean_endpoint_donor,predmean_endpoint_mean
W01,0,JAS21/minicube_103_32TPR_45.49_10.47.nc,JAS21/minicube_97_32TNR_45.45_9.59.nc,32TPR,0.618066,202528,0.224802,0.219034,0.226411,nan,nan,nan,nan
W02,8,JAS22/minicube_23_30STJ_39.19_-5.73.nc,JAS22/minicube_64_31TCG_41.73_1.24.nc,30STJ,0.759381,248834,0.029884,0.067681,0.027259,0.143551,0.168926,0.296765,0.151601
W03,15,MAM21/minicube_6_29SQB_37.12_-5.86.nc,MAM21/minicube_29_30TWK_40.05_-2.43.nc,29SQB,0.420047,137641,0.228380,0.226133,0.228023,nan,nan,nan,nan
W04,23,MJJ21/minicube_224_34TET_47.72_21.24.nc,MJJ21/minicube_238_34TFT_47.29_22.46.nc,34TET,0.500632,164047,0.120650,0.101780,0.129500,nan,nan,nan,nan
W05,30,MJJ22/minicube_103_32TPR_45.49_10.47.nc,MJJ22/minicube_112_32TQM_42.36_12.39.nc,32TPR,0.314777,103146,0.165293,0.161024,0.163229,0.313454,0.383262,0.363346,0.365149
W06,38,MJJ22/minicube_160_33TYM_46.19_17.62.nc,MJJ22/minicube_154_33TXJ_43.62_16.81.nc,33TYM,0.479059,156978,0.143560,0.150889,0.145077,0.376393,0.336894,0.317740,0.337405
W07,45,MJJ22/minicube_219_34TDQ_45.04_20.93.nc,MJJ22/minicube_208_34TCQ_44.74_18.50.nc,34TDQ,0.619046,202849,0.109449,0.106675,0.111264,0.283726,0.308165,0.310859,0.294831
W08,53,MJJ22/minicube_24_30TTK_39.99_-6.07.nc,MJJ22/minicube_9_29TNE_40.49_-7.88.nc,30TTK,0.501620,164371,0.120477,0.154743,0.114335,0.179162,0.313894,0.348607,0.293871
W09,60,MJJ22/minicube_32_30TWM_42.08_-2.23.nc,MJJ22/minicube_62_31TBF_41.07_0.71.nc,30TWM,0.671124,219914,0.085728,0.068726,0.082432,0.359629,0.293595,0.347510,0.291114
W10,68,MJJ22/minicube_46_30TYR_45.49_0.70.nc,MJJ22/minicube_66_31TCN_47.02_1.44.nc,30TYR,0.497925,163160,0.168542,0.159261,0.177064,0.525192,0.351156,0.363074,0.379836
W11,75,MJJ22/minicube_78_31TEJ_43.47_3.31.nc,MJJ22/minicube_74_31TDJ_43.31_2.71.nc,31TEJ,0.733597,240385,0.080597,0.078427,0.080798,0.273313,0.227825,0.229433,0.223411
W12,83,SON22/minicube_60_31TBF_41.35_-0.04.nc,SON21/minicube_63_31TCG_41.48_0.66.nc,31TBF,0.418854,137250,0.056302,0.072915,0.058657,nan,nan,nan,nan
