split,scope,condition,pooled_rmse,pooled_r2,D20_pooled_rmse,pct_vs_D20,n_cubes,n_valid_pixels,n_geo_groups
iid,endpoint_h10,A,0.174509,0.454878,0.175436,-0.5284,1214,14042797,80
iid,endpoint_h10,B,0.174489,0.455002,0.175436,-0.5397,1214,14042797,80
iid,endpoint_h10,donor,0.186518,0.377269,0.175436,6.3169,1214,14042797,80
iid,full_suffix_1_to_10,A,0.168349,0.475251,0.167407,0.5626,2066,144356441,80
iid,full_suffix_1_to_10,B,0.168061,0.477045,0.167407,0.3906,2066,144356441,80
iid,full_suffix_1_to_10,donor,0.178159,0.412314,0.167407,6.4225,2066,144356441,80
ood_s,endpoint_h10,A,0.214849,0.246519,0.215379,-0.2463,3549,35106624,852
ood_s,endpoint_h10,B,0.214898,0.246172,0.215379,-0.2232,3549,35106624,852
ood_s,endpoint_h10,donor,0.221679,0.19785,0.215379,2.925,3549,35106624,852
ood_s,full_suffix_1_to_10,A,0.202166,0.278501,0.200986,0.5875,6965,363712153,878
ood_s,full_suffix_1_to_10,B,0.201776,0.281284,0.200986,0.3933,6965,363712153,878
ood_s,full_suffix_1_to_10,donor,0.208538,0.232306,0.200986,3.7577,6965,363712153,878
ood_st,endpoint_h10,A,0.199316,0.25412,0.199623,-0.1538,2731,25561790,854
ood_st,endpoint_h10,B,0.199694,0.25129,0.199623,0.0354,2731,25561790,854
ood_st,endpoint_h10,donor,0.201297,0.23922,0.199623,0.8385,2731,25561790,854
ood_st,full_suffix_1_to_10,A,0.180976,0.342339,0.18185,-0.4808,5437,257086796,878
ood_st,full_suffix_1_to_10,B,0.181441,0.338952,0.18185,-0.2248,5437,257086796,878
ood_st,full_suffix_1_to_10,donor,0.18449,0.31655,0.18185,1.4517,5437,257086796,878
ood_t,endpoint_h10,A,0.158894,0.45852,0.159413,-0.3256,884,9590646,80
ood_t,endpoint_h10,B,0.159521,0.454235,0.159413,0.068,884,9590646,80
ood_t,endpoint_h10,donor,0.166367,0.406386,0.159413,4.3625,884,9590646,80
ood_t,full_suffix_1_to_10,A,0.154768,0.482776,0.15573,-0.6179,1605,101241115,80
ood_t,full_suffix_1_to_10,B,0.155341,0.478939,0.15573,-0.2499,1605,101241115,80
ood_t,full_suffix_1_to_10,donor,0.162236,0.431652,0.15573,4.1781,1605,101241115,80
