derived_id,value,unit,formula,scope,source
D1.rmse_gap_pct_vs_best[iid_chopped],9.2966,%,100*(RMSE_C1_seed42 / RMSE_bestbaseline_mean3 - 1),"Table 1, official LC-balanced",/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_rank_of_5[iid_chopped],4,,"rank of C1 mean-3 RMSE among {C1, ConvLSTM, PredRNN, SimVP, Contextformer}",Table 1,/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_gap_pct_vs_best[ood-t_chopped],5.4788,%,100*(RMSE_C1_seed42 / RMSE_bestbaseline_mean3 - 1),"Table 1, official LC-balanced",/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_rank_of_5[ood-t_chopped],4,,"rank of C1 mean-3 RMSE among {C1, ConvLSTM, PredRNN, SimVP, Contextformer}",Table 1,/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_gap_pct_vs_best[ood-s_chopped],8.545,%,100*(RMSE_C1_seed42 / RMSE_bestbaseline_mean3 - 1),"Table 1, official LC-balanced",/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_rank_of_5[ood-s_chopped],4,,"rank of C1 mean-3 RMSE among {C1, ConvLSTM, PredRNN, SimVP, Contextformer}",Table 1,/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_gap_pct_vs_best[ood-st_chopped],4.6582,%,100*(RMSE_C1_seed42 / RMSE_bestbaseline_mean3 - 1),"Table 1, official LC-balanced",/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D1.rmse_rank_of_5[ood-st_chopped],3,,"rank of C1 mean-3 RMSE among {C1, ConvLSTM, PredRNN, SimVP, Contextformer}",Table 1,/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery/E1_summary_values.csv
D2.delta_R2_range,"[0.002599, 0.004856]",,"min/max over four splits of R2_LC(C0R) - R2_LC(C1), seed 42",Table 3.2,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table3_training_mechanism.csv
D2.delta_R2_mean,0.003605,,arithmetic mean over four splits (descriptive only),Table 3.2,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table3_training_mechanism.csv
