section,quantity,comparison,value,paired_ci_low,paired_ci_high,geo_ci_low,geo_ci_high,geo_n_clusters,reused_ci_low,reused_ci_high,reused_n_clusters,n,paired_significant_gt0,direction,n_missing_pairs
5.1_accuracy,R2_LC,actual,0.6344927582884313,,,,,,,,,,,,
5.1_accuracy,rmse_LC,actual,0.1472885183012831,,,,,,,,,,,,
5.1_accuracy,nse_LC,actual,0.012996608215951833,,,,,,,,,,,,
5.1_accuracy,R2_LC,donor,0.5883716937106744,,,,,,,,,,,,
5.1_accuracy,rmse_LC,donor,0.15613504169760115,,,,,,,,,,,,
5.1_accuracy,nse_LC,donor,-0.10248929199169954,,,,,,,,,,,,
5.1_accuracy,R2_LC,mean,0.5578331877696552,,,,,,,,,,,,
5.1_accuracy,rmse_LC,mean,0.19239751317747245,,,,,,,,,,,,
5.1_accuracy,nse_LC,mean,-0.6158164515228011,,,,,,,,,,,,
actual_loss_benefit,actual_loss_benefit,extreme_actual_vs_donor,0.00205280161130109,0.0007928205558051733,0.003351803351116749,0.000761062697492185,0.0034516122097556943,31,0.0007150691025001126,0.0033607722651400503,45,84,True,,
actual_loss_benefit,actual_loss_benefit,extreme_actual_vs_mean,0.010140451864572242,0.006782058083886763,0.013769545144463161,0.004838972635353606,0.015558443344991036,31,0.004760497651767137,0.015883245566846265,45,84,True,,
response_magnitude,response_magnitude,extreme_actual_vs_donor,0.03466347111333605,,,,,,,,,84,,,
response_magnitude,response_magnitude,extreme_actual_vs_mean,0.07971567984315611,,,,,,,,,84,,,
response_magnitude,response_magnitude,normal_actual_vs_donor,0.0338579533216987,,,,,,,,,84,,,
response_magnitude,response_magnitude,normal_actual_vs_mean,0.062233922559590565,,,,,,,,,84,,,
interaction_response,interaction_response,resp_donor,0.0008055177916373525,-0.0014281134256244905,0.0031214798856083123,-0.0016787679700969924,0.0029839279822015887,31,-0.0024368949836796193,0.003682988592626182,45,84,False,,
interaction_response,interaction_response,resp_mean,0.017481757283565543,0.009628373356757773,0.025336505280851962,0.00646274237608951,0.02749186748771466,31,0.007023331021377427,0.027778761270708344,45,84,True,,
interaction_loss_benefit,interaction_loss_benefit,dloss_donor,-0.00030195756698958576,-0.0023211939578946577,0.0017592618035061065,-0.002840564949667196,0.002581528696726015,31,-0.0031532106510455144,0.002442940561742028,45,84,False,,
interaction_loss_benefit,interaction_loss_benefit,dloss_mean,0.007838498952055704,0.004395493190358615,0.01153232768506097,0.0032250790115086,0.011960590557480652,31,0.0027669997769072547,0.013311168861480873,45,84,True,,
cohort_interaction,cohort_interaction,resp_clim,0.017481757283565543,0.009628373356757773,0.025336505280851962,0.00646274237608951,0.02749186748771466,31,,,,84,True,hotdry>normal,0
cohort_interaction,cohort_interaction,resp_flip,-0.0045415387056501845,-0.007710981984772453,-0.0015108625561143056,-0.007876779438795027,-0.0008966749503243997,31,,,,84,False,hotdry<=normal,0
cohort_interaction,cohort_interaction,contrib_state,0.009348539014657339,0.003598956114590346,0.015168272481033843,0.0014162686489899421,0.017003577344165063,31,,,,84,True,hotdry>normal,0
cohort_interaction,cohort_interaction,state_move,0.006533762883572351,0.0021074261605030014,0.010988374675313632,0.0012478689501512815,0.01111840289966427,31,,,,84,True,hotdry>normal,0
5.6_stratum_effect,response_scale,hotdry/contrib_state,0.052681055230398975,,,,,,,,,84,,,
5.6_stratum_effect,response_scale,hotdry/resp_clim,0.07971567984315611,,,,,,,,,84,,,
5.6_stratum_effect,response_scale,hotdry/resp_flip,0.023781208498846917,,,,,,,,,84,,,
5.6_stratum_effect,response_scale,hotdry/state_move,0.27062857683215824,,,,,,,,,84,,,
5.6_stratum_effect,response_scale,matched_normal/contrib_state,0.04051769566204813,,,,,,,,,45,,,
5.6_stratum_effect,response_scale,matched_normal/resp_clim,0.054878940226303206,,,,,,,,,45,,,
5.6_stratum_effect,response_scale,matched_normal/resp_flip,0.02909974018111825,,,,,,,,,45,,,
5.6_stratum_effect,response_scale,matched_normal/state_move,0.2602383891741435,,,,,,,,,45,,,
5.7_stratum_accuracy,R2_LC,hotdry/full,0.6344927582884313,,,,,,,,,,,,
5.7_stratum_accuracy,R2_LC,hotdry/closure_zero_scale,0.5909452083143365,,,,,,,,,,,,
5.7_stratum_accuracy,R2_LC,hotdry/t_identity,0.5899422451936014,,,,,,,,,,,,
5.7_stratum_accuracy,R2_LC,matched_normal/full,0.5464754718002753,,,,,,,,,,,,
5.7_stratum_accuracy,R2_LC,matched_normal/closure_zero_scale,0.5501638606246632,,,,,,,,,,,,
5.7_stratum_accuracy,R2_LC,matched_normal/t_identity,0.5496617790656324,,,,,,,,,,,,
