method,split,n,source,source_path,R2_mean,R2_sample_std_ddof1,rmse_mean,rmse_sample_std_ddof1,nse_mean,nse_sample_std_ddof1,biasabs_mean,biasabs_sample_std_ddof1,rmse25_mean,rmse25_sample_std_ddof1,std_definition
TerraState-C1,iid_chopped,3,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/per_seed_metrics.csv,0.5220939507224425,6.488654133138544e-05,0.15553065656862813,1.4193866543326942e-06,-0.13702467926870301,9.508134274383911e-05,0.09965423417921865,3.999152210624997e-06,0.09115013611191586,1.7486103005469634e-05,sample std ddof=1 across seeds; not a confidence interval
ConvLSTM 1M,iid_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5106666666666667,0.0015044378795195706,0.1557,0.0011000000000000038,-0.10456666666666668,0.01147446440289626,0.0978,0.0012124355652982138,0.10046666666666666,0.0016772994167212204,sample std ddof=1 across seeds; not a confidence interval
PredRNN 1M,iid_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5414333333333333,0.010986051762727784,0.1423,0.004503332099679082,0.042666666666666665,0.04813079402350779,0.08686666666666666,0.003650114153466074,0.08883333333333333,0.002532455988429676,sample std ddof=1 across seeds; not a confidence interval
SimVP 6M,iid_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.49879999999999997,0.006090155991434053,0.1461,0.0017088007490635,-0.019133333333333332,0.02274298426621567,0.08706666666666667,0.0014977761292440633,0.10086666666666666,0.0027153882472555073,sample std ddof=1 across seeds; not a confidence interval
Contextformer 6M,iid_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5333333333333333,0.000611010092660772,0.1484333333333333,0.000901849950564577,-0.038733333333333335,0.01311576659342996,0.09413333333333333,0.0008504900548115417,0.08929999999999999,0.000458257569495582,sample std ddof=1 across seeds; not a confidence interval
Persistence,iid_chopped,1,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.0,,0.2213,,-1.1716,,0.161,,0.1028,,sample std ddof=1 across seeds; not a confidence interval
TerraState-C1,ood-t_chopped,3,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/per_seed_metrics.csv,0.5725859181174409,0.0001081345442359792,0.15095680197125058,2.7423826358278265e-05,-0.10678026728885204,0.0004307580110276778,0.10136105711468424,3.2123618796282705e-05,0.08238418157280382,2.0260172336639922e-05,sample std ddof=1 across seeds; not a confidence interval
ConvLSTM 1M,ood-t_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5483333333333333,0.006963715483370483,0.16149999999999998,0.0018248287590894657,-0.18986666666666666,0.01297394825538215,0.10973333333333334,0.0022810816147900786,0.10216666666666667,0.002720906711619004,sample std ddof=1 across seeds; not a confidence interval
PredRNN 1M,ood-t_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5924333333333333,0.0015307950004272975,0.1474,0.0021166010488516598,-0.037533333333333335,0.026647764133850584,0.09736666666666667,0.00470141822574139,0.10183333333333333,0.0019218047073866153,sample std ddof=1 across seeds; not a confidence interval
SimVP 6M,ood-t_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5616333333333333,0.005320087718575064,0.14923333333333333,0.001913983629327411,-0.06596666666666667,0.016529166141500705,0.09766666666666668,0.0020231987873991376,0.10433333333333333,0.0016072751268321607,sample std ddof=1 across seeds; not a confidence interval
Contextformer 6M,ood-t_chopped,3,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,0.5877,0.004358898943540678,0.1431,0.0008185352771872549,0.0051,0.01676872088145068,0.09363333333333335,0.0005033222956847172,0.08183333333333333,0.0031533051443419385,sample std ddof=1 across seeds; not a confidence interval
