evidence_family,split,scope,comparison,metric,estimate,ci_low,ci_high,n_pairs,n_receivers,geo_groups,source,interpretation
corrected_mask_donor,iid,full_suffix,donor_minus_A,delta_mse,0.00319203393815653,0.0024279585211699484,0.0039032768732136154,,2066,80,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/iid/tables/Table_4B_state_intervention_formal.md,Positive means intermediate-state replacement increased target error
corrected_mask_donor,iid,endpoint,donor_minus_A,delta_mse,0.004109052851979534,0.002381860542194127,0.004970903300065952,,1214,80,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/iid/tables/Table_4B_state_intervention_formal.md,Endpoint valid set is separate from full-suffix valid set
corrected_mask_donor,ood_t,full_suffix,donor_minus_A,delta_mse,0.0021917210571023612,0.0017063357047451462,0.002782241891925985,,1605,80,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/ood_t/tables/Table_4B_state_intervention_formal.md,Positive means intermediate-state replacement increased target error
corrected_mask_donor,ood_t,endpoint,donor_minus_A,delta_mse,0.003139866940942047,0.00198605156786822,0.004428537293422822,,884,80,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/ood_t/tables/Table_4B_state_intervention_formal.md,Endpoint valid set is separate from full-suffix valid set
corrected_mask_donor,ood_st,full_suffix,donor_minus_A,delta_mse,0.0015583897001574352,0.0012118477649836112,0.0018826906678243468,,5437,878,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/ood_st/tables/Table_4B_state_intervention_formal.md,Positive means intermediate-state replacement increased target error
corrected_mask_donor,ood_st,endpoint,donor_minus_A,delta_mse,0.0010040061536280766,-0.0001772393200351566,0.0012857425522500212,,2731,854,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/ood_st/tables/Table_4B_state_intervention_formal.md,CI crosses zero; this is uncertainty not equivalence
corrected_mask_donor,ood_s,full_suffix,donor_minus_A,delta_mse,0.003344566880082621,0.0030470659947549037,0.003792546829380761,,6965,878,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/ood_s/tables/Table_4B_state_intervention_formal.md,Positive means intermediate-state replacement increased target error
corrected_mask_donor,ood_s,endpoint,donor_minus_A,delta_mse,0.003430865209420096,0.0019091258458396713,0.0036077137944428837,,3549,852,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z/ood_s/tables/Table_4B_state_intervention_formal.md,Positive means intermediate-state replacement increased target error
c1_fsr_path,iid,common_suffix,FSR_minus_C1,A_B_output_mae_delta,0.0016376394063187362,0.0010556032838713869,0.0017585844365704127,16537,2837,80,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/statistics/paired_statistics.csv,Positive means FSR has larger A/B output mismatch; geo-cluster bootstrap
c1_fsr_path,ood_t,common_suffix,FSR_minus_C1,A_B_output_mae_delta,0.0014292312758575204,0.00079679007953110546,0.0014258028365534705,10674,1873,80,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/statistics/paired_statistics.csv,Positive means FSR has larger A/B output mismatch; geo-cluster bootstrap
c1_fsr_path,ood_st,common_suffix,FSR_minus_C1,A_B_output_mae_delta,0.00058646461271992523,0.00036053475919443581,0.00057057450779108556,34029,6859,878,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/statistics/paired_statistics.csv,Positive means FSR has larger A/B output mismatch; geo-cluster bootstrap
c1_fsr_path,ood_s,common_suffix,FSR_minus_C1,A_B_output_mae_delta,0.00075539055783598735,0.0003402938237498932,0.00055753614455291496,52796,10386,878,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/statistics/paired_statistics.csv,Positive means FSR has larger A/B output mismatch; geo-cluster bootstrap
