split,dataset_index,cube,season,suffix_horizon,geo_group,n_valid,c1_A_B_output_mae,fsr_A_B_output_mae,delta_fsr_minus_c1
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,1,29SND,16055,0.007895476184785366,0.01187068596482277,0.0039752097800374031
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,3,29SND,16081,0.007990557700395584,0.012672340497374535,0.0046817827969789505
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,4,29SND,16082,0.008142380975186825,0.01304799597710371,0.0049056150019168854
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,5,29SND,16082,0.008525422774255276,0.013471805490553379,0.0049463827162981033
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,7,29SND,16082,0.009313029237091541,0.014554115012288094,0.0052410857751965523
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,8,29SND,16076,0.009476007893681526,0.014934680424630642,0.0054586725309491158
iid,0,minicube_0_29SND_39.29_-8.56,JAS17,9,29SND,16077,0.009399945847690105,0.015261088497936726,0.0058611426502466202
iid,1,minicube_100_32TPP_43.28_10.58,JAS17,2,32TPP,15850,0.005783846136182547,0.0056991553865373135,-8.4690749645233154e-05
iid,1,minicube_100_32TPP_43.28_10.58,JAS17,7,32TPP,13348,0.003926622215658426,0.005468482151627541,0.0015418599359691143
iid,1,minicube_100_32TPP_43.28_10.58,JAS17,8,32TPP,15852,0.003521695965901017,0.0049582114443182945,0.0014365154784172773
iid,10,minicube_109_32TPT_47.77_10.74,JAS17,2,32TPT,314,0.019412891939282417,0.007526942063122988,-0.01188594987615943
iid,10,minicube_109_32TPT_47.77_10.74,JAS17,7,32TPT,15406,0.01439621765166521,0.012718071229755878,-0.0016781464219093323
iid,10,minicube_109_32TPT_47.77_10.74,JAS17,8,32TPT,15200,0.014951055869460106,0.01262260414659977,-0.0023284517228603363
iid,1000,minicube_146_33TVF_40.88_14.87,MAM18,1,33TVF,15408,0.013087894767522812,0.003956478554755449,-0.0091314162127673626
iid,1000,minicube_146_33TVF_40.88_14.87,MAM18,10,33TVF,4233,0.01264913473278284,0.009750925935804844,-0.0028982087969779968
iid,1000,minicube_146_33TVF_40.88_14.87,MAM18,2,33TVF,5286,0.010719683021306992,0.00585537776350975,-0.0048643052577972412
iid,1000,minicube_146_33TVF_40.88_14.87,MAM18,5,33TVF,9799,0.01386692188680172,0.006465969607234001,-0.0074009522795677185
iid,1000,minicube_146_33TVF_40.88_14.87,MAM18,9,33TVF,15406,0.01201128400862217,0.009208912029862404,-0.0028023719787597656
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,1,33TVF,12810,0.005529999267309904,0.008782944642007351,0.0032529453746974468
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,10,33TVF,7879,0.005470768082886934,0.018198827281594276,0.012728059198707342
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,2,33TVF,12814,0.004977555945515633,0.011883588507771492,0.0069060325622558594
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,4,33TVF,187,0.008123006671667099,0.01036779023706913,0.0022447835654020309
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,5,33TVF,3125,0.006288603413850069,0.013128318823873997,0.0068397154100239277
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,8,33TVF,12798,0.006309820804744959,0.01524283830076456,0.0089330174960196018
iid,1001,minicube_147_33TVF_41.18_14.17,MAM18,9,33TVF,12533,0.005841383244842291,0.016578374430537224,0.010736991185694933
iid,1002,minicube_148_33TVF_41.44_14.35,MAM18,1,33TVF,14820,0.01251196675002575,0.0030591762624680996,-0.0094527904875576496
iid,1002,minicube_148_33TVF_41.44_14.35,MAM18,10,33TVF,77,0.013919428922235966,0.001958679175004363,-0.011960749747231603
iid,1002,minicube_148_33TVF_41.44_14.35,MAM18,2,33TVF,16245,0.012930280528962612,0.002790719736367464,-0.010139560792595148
iid,1002,minicube_148_33TVF_41.44_14.35,MAM18,7,33TVF,283,0.013050355948507786,0.0028629631269723177,-0.010187392821535468
iid,1002,minicube_148_33TVF_41.44_14.35,MAM18,8,33TVF,14682,0.01476954109966755,0.003444546600803733,-0.011324994498863816
iid,1002,minicube_148_33TVF_41.44_14.35,MAM18,9,33TVF,7798,0.014532826840877533,0.0038737612776458263,-0.010659065563231707
iid,1003,minicube_149_33TWE_40.33_15.09,MAM18,1,33TWE,6403,0.004252865444868803,0.0019216910004615784,-0.0023311744444072247
iid,1003,minicube_149_33TWE_40.33_15.09,MAM18,10,33TWE,2461,0.0030457351822406054,0.0029116759542375803,-0.00013405922800302505
iid,1003,minicube_149_33TWE_40.33_15.09,MAM18,2,33TWE,16286,0.005121440161019564,0.0022034530993551016,-0.0029179870616644621
iid,1003,minicube_149_33TWE_40.33_15.09,MAM18,5,33TWE,8831,0.004539795685559511,0.0029256613925099373,-0.0016141342930495739
iid,1003,minicube_149_33TWE_40.33_15.09,MAM18,6,33TWE,299,0.002964619779959321,0.0019129556603729725,-0.0010516641195863485
iid,1003,minicube_149_33TWE_40.33_15.09,MAM18,9,33TWE,16286,0.00421120272949338,0.0032908073626458645,-0.00092039536684751511
iid,1004,minicube_14_29TPE_40.38_-6.74,MAM18,1,29TPE,16178,0.007968797348439693,0.009408543817698956,0.0014397464692592621
iid,1004,minicube_14_29TPE_40.38_-6.74,MAM18,2,29TPE,16178,0.007836427539587021,0.008890338242053986,0.0010539107024669647
iid,1004,minicube_14_29TPE_40.38_-6.74,MAM18,4,29TPE,16178,0.007255413569509983,0.00796600989997387,0.00071059633046388626
iid,1004,minicube_14_29TPE_40.38_-6.74,MAM18,5,29TPE,16178,0.006751649081707001,0.0069302585907280445,0.00017860950902104378
iid,1004,minicube_14_29TPE_40.38_-6.74,MAM18,6,29TPE,16178,0.0066142636351287365,0.006986272055655718,0.00037200842052698135
iid,1004,minicube_14_29TPE_40.38_-6.74,MAM18,7,29TPE,16178,0.006197878159582615,0.00629707146435976,9.9193304777145386e-05
iid,1005,minicube_150_33TWE_40.38_15.12,MAM18,1,33TWE,11802,0.009313901886343956,0.0026197193656116724,-0.0066941825207322836
iid,1005,minicube_150_33TWE_40.38_15.12,MAM18,2,33TWE,16218,0.009185312315821648,0.004001770634204149,-0.0051835416816174984
iid,1005,minicube_150_33TWE_40.38_15.12,MAM18,5,33TWE,267,0.013133356347680092,0.0031739408150315285,-0.0099594155326485634
iid,1005,minicube_150_33TWE_40.38_15.12,MAM18,7,33TWE,151,0.013819944113492966,0.004517237655818462,-0.0093027064576745033
iid,1005,minicube_150_33TWE_40.38_15.12,MAM18,9,33TWE,16218,0.012995557859539986,0.005446773488074541,-0.0075487843714654446
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,1,33TWE,15638,0.01620648428797722,0.0040037245489656925,-0.012202759739011526
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,2,33TWE,9485,0.01457263994961977,0.004484184086322784,-0.010088455863296986
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,3,33TWE,15639,0.013533067889511585,0.006776817142963409,-0.0067562507465481758
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,4,33TWE,3124,0.0163284819573164,0.004909401759505272,-0.011419080197811127
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,5,33TWE,10544,0.015277580358088017,0.00730999605730176,-0.0079675843007862568
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,7,33TWE,9474,0.013893979601562023,0.009997306391596794,-0.003896673209965229
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,8,33TWE,15638,0.014474887400865555,0.009440802037715912,-0.0050340853631496429
iid,1006,minicube_151_33TWE_40.62_16.18,MAM18,9,33TWE,1544,0.01247820258140564,0.012740999460220337,0.00026279687881469727
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,1,33TXJ,4889,0.001619221642613411,0.0014250993262976408,-0.00019412231631577015
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,10,33TXJ,14149,0.0025660297833383083,0.0016851392574608326,-0.00088089052587747574
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,2,33TXJ,14149,0.0013912325957790017,0.0013440290931612253,-4.7203502617776394e-05
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,3,33TXJ,14149,0.001374837476760149,0.0013534084428101778,-2.1429033949971199e-05
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,5,33TXJ,11042,0.0016274116933345795,0.001414983649738133,-0.00021242804359644651
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,7,33TXJ,14149,0.0019966494292020798,0.0015557920560240746,-0.00044085737317800522
iid,1007,minicube_152_33TXJ_43.27_16.74,MAM18,8,33TXJ,11558,0.0021124547347426414,0.0015595421427860856,-0.00055291259195655584
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,1,33TXJ,26,0.009314018301665783,0.0033656922169029713,-0.0059483260847628117
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,10,33TXJ,15728,0.005171243101358414,0.0037608526181429625,-0.0014103904832154512
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,2,33TXJ,15728,0.00842254888266325,0.002485590288415551,-0.0059369585942476988
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,3,33TXJ,1505,0.009104191325604916,0.0026450299192219973,-0.0064591614063829184
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,4,33TXJ,1996,0.008878749795258045,0.0026351511478424072,-0.006243598647415638
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,5,33TXJ,15409,0.0072791362181305885,0.002716423012316227,-0.0045627132058143616
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,7,33TXJ,12045,0.0069797770120203495,0.0027399715036153793,-0.0042398055084049702
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,8,33TXJ,15728,0.006837001070380211,0.002999324118718505,-0.003837676951661706
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,1,33TXJ,16041,0.006062224041670561,0.0063269841484725475,0.00026476010680198669
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,10,33TXJ,9290,0.005985337309539318,0.013487626798450947,0.0075022894889116287
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,2,33TXJ,16041,0.005743884947150946,0.00720991799607873,0.001466033048927784
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,3,33TXJ,10526,0.006402859464287758,0.007164487149566412,0.0007616276852786541
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,5,33TXJ,16041,0.005878678523004055,0.011631167493760586,0.0057524889707565308
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,8,33TXJ,14358,0.006070743314921856,0.011823376640677452,0.0057526333257555962
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,9,33TXJ,15218,0.005999889224767685,0.01306055672466755,0.0070606674998998642
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,1,33TXN,15763,0.002880572574213147,0.006536616012454033,0.0036560434382408857
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,10,33TXN,10337,0.004353542812168598,0.011635343544185162,0.0072818007320165634
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,4,33TXN,15763,0.0030224351212382317,0.01079630944877863,0.0077738743275403976
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,8,33TXN,4024,0.004688113462179899,0.00888668093830347,0.0041985674761235714
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,9,33TXN,15763,0.00410365778952837,0.010871078819036484,0.0067674210295081139
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,1,33TXN,16345,0.0026651890948414803,0.006199194584041834,0.0035340054892003536
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,10,33TXN,16157,0.0030313488095998764,0.014453967101871967,0.011422618292272091
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,4,33TXN,16346,0.0025600981898605824,0.011030269786715508,0.0084701715968549252
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,7,33TXN,16346,0.0030828709714114666,0.009361439384520054,0.0062785684131085873
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,8,33TXN,2224,0.0030094189569354057,0.010280557908117771,0.0072711389511823654
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,9,33TXN,16333,0.0029371376149356365,0.013103222474455833,0.010166084859520197
